epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131,1.14446,2.44914,1.31052,0.81217,0.86614,0.89419,0.62877,1.0481,2.00211,1.3475,0.000654321,0.000654321,0.000654321
2,256.09,1.29378,1.40809,1.32284,0.14067,0.74803,0.35925,0.24018,1.25279,20.4918,1.54129,0.00129483,0.00129483,0.00129483
3,383.946,1.30472,1.23654,1.29244,0.14656,0.72441,0.24558,0.11258,1.79091,21.5726,2.08202,0.00190894,0.00190894,0.00190894
4,507.861,1.39543,1.32369,1.39402,0.37681,0.31496,0.32298,0.17577,1.97848,3.90254,1.97575,0.0018812,0.0018812,0.0018812
5,632.706,1.30018,1.19109,1.38482,0.61488,0.75591,0.75609,0.44147,1.40223,2.43174,1.58449,0.0018416,0.0018416,0.0018416
6,755.612,1.30803,1.12618,1.33236,0.80294,0.84252,0.91132,0.53232,1.27502,1.5997,1.48328,0.001802,0.001802,0.001802
7,872.507,1.27265,1.0955,1.32842,0.86911,0.84252,0.93456,0.65425,1.0355,1.018,1.23936,0.0017624,0.0017624,0.0017624
8,991.777,1.20244,1.10644,1.26732,0.93431,0.896,0.96337,0.68869,1.00891,0.86095,1.18769,0.0017228,0.0017228,0.0017228
9,1111.76,1.11333,0.92249,1.21812,0.91938,0.84252,0.91006,0.59296,1.17603,0.96531,1.444,0.0016832,0.0016832,0.0016832
10,1227.13,1.07519,0.887,1.20531,0.94139,0.94488,0.98276,0.66945,1.03646,0.76413,1.25946,0.0016436,0.0016436,0.0016436
11,1350.26,1.09236,0.91588,1.2147,0.90473,0.89729,0.95693,0.65732,1.07207,0.80452,1.31311,0.001604,0.001604,0.001604
12,1469.1,1.1086,0.93134,1.24488,0.9136,0.92126,0.96748,0.72009,0.96067,0.78702,1.20893,0.0015644,0.0015644,0.0015644
13,1579.29,0.977,0.82108,1.15011,0.96695,0.92151,0.97333,0.71669,0.93418,0.68401,1.15362,0.0015248,0.0015248,0.0015248
14,1709.36,1.0349,0.81255,1.17398,0.95613,0.97638,0.98797,0.71195,0.93782,0.67074,1.12213,0.0014852,0.0014852,0.0014852
15,1828.81,1.01434,0.81931,1.17891,0.93428,0.96063,0.98845,0.76898,0.84262,0.6234,1.0987,0.0014456,0.0014456,0.0014456
16,1948.63,1.03246,0.84634,1.19315,0.93063,0.97638,0.9862,0.7801,0.80758,0.5835,1.08654,0.001406,0.001406,0.001406
17,2065.32,0.99072,0.81464,1.18695,0.96795,0.95137,0.98822,0.76319,0.8606,0.61011,1.15246,0.0013664,0.0013664,0.0013664
18,2188.72,0.92352,0.76248,1.12638,0.91629,0.94807,0.96681,0.73235,0.88687,0.62447,1.12776,0.0013268,0.0013268,0.0013268
19,2302.83,1.0104,0.79912,1.19059,0.93954,0.97887,0.98947,0.7588,0.86838,0.60832,1.11907,0.0012872,0.0012872,0.0012872
20,2425.12,0.9854,0.77101,1.1416,0.9692,0.99096,0.99422,0.78265,0.7963,0.55176,1.04529,0.0012476,0.0012476,0.0012476
21,2544.82,0.92244,0.72431,1.12796,0.96851,0.96868,0.98411,0.76328,0.80362,0.58681,1.09001,0.001208,0.001208,0.001208
22,2666.39,0.8956,0.7304,1.10632,0.97369,0.97638,0.99011,0.75757,0.83086,0.58483,1.10266,0.0011684,0.0011684,0.0011684
23,2783.28,0.88778,0.71164,1.12353,0.94729,0.9905,0.99191,0.79674,0.75312,0.52739,1.04743,0.0011288,0.0011288,0.0011288
24,2918.92,0.85199,0.66572,1.0997,0.9686,0.97148,0.99225,0.80076,0.73326,0.5068,1.04594,0.0010892,0.0010892,0.0010892
25,3043.52,0.87716,0.66722,1.08144,1,0.96826,0.99358,0.81317,0.7369,0.49316,1.04236,0.0010496,0.0010496,0.0010496
26,3165.42,0.84043,0.67124,1.08147,0.96888,0.98425,0.9909,0.81704,0.69102,0.476,0.9977,0.00101,0.00101,0.00101
27,3277.32,0.88869,0.68237,1.11817,0.98688,0.9685,0.99328,0.83255,0.68426,0.49477,0.98312,0.0009704,0.0009704,0.0009704
28,3394.9,0.80422,0.63618,1.07871,0.98436,0.99099,0.99437,0.83403,0.67074,0.45382,1.00918,0.0009308,0.0009308,0.0009308
29,3524.21,0.83266,0.67711,1.11355,0.98412,0.97569,0.99087,0.83223,0.66044,0.48225,0.99898,0.0008912,0.0008912,0.0008912
30,3641.23,0.80886,0.62586,1.07665,0.99135,0.98425,0.99462,0.82555,0.64814,0.45529,0.9925,0.0008516,0.0008516,0.0008516
31,3758.98,0.80287,0.64707,1.06458,0.99035,0.99213,0.99476,0.84407,0.64803,0.44891,0.99255,0.000812,0.000812,0.000812
32,3872.49,0.77759,0.64981,1.06521,0.99095,0.98425,0.99461,0.82763,0.64844,0.44703,1.01856,0.0007724,0.0007724,0.0007724
33,3995.91,0.78993,0.63938,1.07111,0.98423,0.98307,0.99365,0.8235,0.6828,0.44985,0.98853,0.0007328,0.0007328,0.0007328
34,4114.12,0.78251,0.60897,1.06521,0.98906,0.97638,0.99381,0.84329,0.65061,0.44142,0.97006,0.0006932,0.0006932,0.0006932
35,4228.25,0.76993,0.61124,1.05499,0.99212,0.99117,0.99476,0.83601,0.6381,0.41042,1.00076,0.0006536,0.0006536,0.0006536
36,4358.5,0.73585,0.56919,1.03676,0.98324,0.99213,0.99445,0.85822,0.60106,0.39732,0.95001,0.000614,0.000614,0.000614
37,4473.66,0.73636,0.54875,1.043,0.98332,0.99213,0.99469,0.84651,0.62341,0.42592,0.95142,0.0005744,0.0005744,0.0005744
38,4587.75,0.78065,0.58525,1.06498,1,0.98374,0.99492,0.83792,0.61192,0.41803,0.97392,0.0005348,0.0005348,0.0005348
39,4697.22,0.76483,0.6019,1.05294,0.99807,0.97638,0.99469,0.85483,0.59549,0.40636,0.95832,0.0004952,0.0004952,0.0004952
40,4808.6,0.73199,0.56796,1.04178,0.9915,0.99213,0.99484,0.84596,0.6077,0.41114,0.98477,0.0004556,0.0004556,0.0004556
41,4921.28,0.56341,0.44278,0.93977,0.98437,0.9918,0.99469,0.85657,0.59732,0.41385,0.96606,0.000416,0.000416,0.000416
42,5034.43,0.53549,0.4131,0.92687,0.99031,0.99213,0.99484,0.86966,0.56911,0.39293,0.94951,0.0003764,0.0003764,0.0003764
43,5150.16,0.53118,0.40619,0.94059,0.9919,0.99213,0.995,0.87602,0.57117,0.38941,0.95521,0.0003368,0.0003368,0.0003368
44,5259.54,0.51049,0.39404,0.9223,0.98436,0.99138,0.99476,0.88129,0.56074,0.38414,0.9589,0.0002972,0.0002972,0.0002972
45,5372.24,0.52011,0.39189,0.9212,0.99652,0.99213,0.995,0.8783,0.53792,0.38097,0.93363,0.0002576,0.0002576,0.0002576
46,5484.89,0.49626,0.3828,0.91002,1,0.99028,0.995,0.86048,0.55576,0.37878,0.94637,0.000218,0.000218,0.000218
47,5600.83,0.49344,0.37339,0.92196,0.99748,0.98425,0.99492,0.87721,0.52653,0.36405,0.93574,0.0001784,0.0001784,0.0001784
48,5710.76,0.46862,0.35738,0.90373,0.99139,0.99213,0.99484,0.88488,0.50562,0.3538,0.93006,0.0001388,0.0001388,0.0001388
49,5826.26,0.45724,0.35868,0.90837,0.99128,0.99213,0.99484,0.89406,0.49812,0.34941,0.92451,9.92e-05,9.92e-05,9.92e-05
50,5939.86,0.45363,0.34321,0.91144,0.99134,0.99213,0.99484,0.89035,0.49119,0.34255,0.92403,5.96e-05,5.96e-05,5.96e-05
